comment,label
"đã đuợc shop tư vấn , nhưng nhận về thì sản phẩm ko bỏ vừa giấy a4",NEG
"giao hàng chậm , nhân viên giao hàng không nhiệt tình mặt lừ lừ như tàu điện ngầm , tiền nào của nấy",NEG
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm rất kém,NEU
shope nên kiểm tra chất lượng sản phẩm,NEG
vải mịn đẹp,POS
không đáng tiền mua cho lắm,NEG
vải trước đẹp hơn,POS
áo đẹp chuẩn hình form rộng mặc thoải mái,POS
chất luong so vs giá tiền thời gian giao hàng rất nhanh,POS
mỗi tội mỏng quá,NEG
"chủ shop nhiệt tình , áo k ưng í lắm , gặp phải ông shiper k ra gì",NEG
"quạt mát và mạnh , đèn sáng vô cùng , nói chung rất đáng tiền , nên mua",POS
thơm nhưng hoa hồng mùi thơm hơn,POS
"chất lượng sản phẩm tốt , cần thêm khâu chọn size",POS
chất lương tương đương giá thành,NEU
"hàng đẹp , nhân viên nhiệt tình",POS
"vải mỏng xấu , may dây bị lỗi , không giống như hình rất không đáng tiền",NEG
"shop rất nhiệt tình , tư vấn cho khách hàng nhanh",POS
so với giá tiền chất lượng quá là ok luôn,POS
đóng gỏi sản phẩm được,POS
ship siêu nhanh,POS
là lần đầu tiên gặp dược shop bán hàng chất lượng và đẹp,POS
"sp rất ok , mk rất ưng",POS
"gửi thiếu 1 quần shop bù lại bằng thẻ cào , rất nhiệt tình chu đáo",POS
thiếu nhiều miếng dán,POS
đáng đồng tiền bát gạo,POS
kiểu đây là phải tốn xiềng dài dài thoai,POS
đặt 1 cái trước xem vãi vũng ra làm sao . mà ai ngờ đẹp quá,POS
đặt cho vui ko hy vọng gì nhiều với giá tầm 50k,POS
"quảng cáo chai 1 lít , giá 105k",NEG
"yêu cầu giao kính màu xanh thì giao màu hồng nên vất xó , ko dùng được",NEG
"chân mình 24 , 5 mà đeo vào khó chịu",NEG
quá xá là đẹp,POS
mặc đi lam ai cũng hỏi mua ở đâu sẽ con ủng hộ lâu dài,POS
quần k có chun,NEG
kiểu đẹp mà chất vải không ưng,NEU
vải bóng bóng,NEU
nhưng mặc hơi rộng xíu . 5 sao cho shop,POS
sản phẩm đẹp chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền,POS
"đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh quần đẹp , vải ổn , chỉ có điều là dính vết bẩn ở ống quần , mong shop lưu ý hơn sẽ tiếp tục ủng hộ",POS
mọi người nên mua ạ,POS
áo may giống ảnh nhưng vải hơi mỏng,NEU
nhưng không đáng kể,NEU
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh vải rất đẹp và xinh,POS
chất lượng sản phẩm tuyệt vời chất lượng sản phẩm tuyệt vời vải mịn mát,POS
đóng gói và chất vải đều ok,POS
rất đẹp shop nhé,POS
rất oke,POS
áo cỡ l form hơi to chắc cỡ m mới vừa,NEU
"áo màu from đẹp , chỉ có chất vải mình không thích , chủ shop nhiệt tình",POS
quần có 69k mà mặc vào đẹp lắm cơ,POS
nhưng đẹp,POS
đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh shop phục vụ rất tốt,POS
"nói chung tiền nào của nấy , vậy là ok lắm rồi",POS
"sản phẩm giống hình nhưng trông hơi giừ , chất vải nóng",NEG
với giá mình mua 140k là đáng tiền,POS
xong kêu mh tự đi sửa lun đồ bận chưa tới 1 ngay đã tét tùm lum,NEG
chất lượng sản phẩm tuyệt vời rất đáng tiền y hình,POS
"áo siêu xinh , chất len mịn tay lắm nhá",POS
"đã nhận được hàng , thời gian giao hàng nhanh",POS
"chất lượng sản phẩm tuyệt vời , không có 6 star nếu không vote luôn",POS
quần đẹp màu sắc và kiểu dáng như hình,POS
"chất lượng sản phẩm kém form áo nhỏ , không giống hình , chất vải nỉ mỏng , mịn",NEG
chất lượng đẹp theo giá cả,POS
lấy 10 chiếc mà 3 cái k phải len tăm,NEU
hàng đẹp lắm luôn á shop,POS
mác vải bên trong là size 38 / 85 nhưng mác giấy bên ngoài là 34 / 75,NEG
"tuy nhiên có điểm trừ là vải dạng dễ nhăn , bất tiện cho ng lười ủi như mình",POS
16h nhận dc hàng,NEG
bán nhầm sản phẩm iphone 7 black chứ ko phải iphone 7 plus / 8plus như đặt,NEU
"mật để trong tủ lạnh bị đóng sệt lại , khoảng không trong chai ko di chuyển như mật mình mua ở địa phương",NEG
sẽ ũng hộ shop nhiều hơn,POS
chất lượng sản phẩm tuyệt vời áo rất đẹp và ấm mặc vừa in,POS
sản phẩm xinh khỏi nói áo chất liệu vải thích quá trời gặp nhân viên còn dễ thương nữa giao hàng nhanh như gió lấy hàng còn được shop ghi thư cảm ơn riêng ^ ( chữ đẹp ) 10 đ 10đ,POS
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt shop phục vụ rất tốt thời gian giao hàng rất nhanh,NEG
chất lượng sản phẩm thì tuyệt vời . đóng gói rất đẹp và chắc chắn . rất đáng tiền m mua . thời gian giao hàng rất nhanh,POS
bộ này form to hơn bt,NEU
vải mỏng nhưng đẹp,POS
sp tạm được shop phục vụ rất tốt,POS
chất lg cũng ok,POS
nhìn tổng thể thì được,POS
"chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt thời gian giao hàng rất nhanh , giày đẹp , rất đáng tiền",POS
đặt 1 trắng 1 nâu đến lúc giao thành 2 nâu,NEG
chuẩn không cần chỉnh,POS
"chất lương ok đẹp , m sẻ ung hộ shop tip",POS
tay dài ra ngắn,NEG
minh đặt màu đen mà giao màu trắng,NEG
mọi nguười nên sử dụng,POS
giày hơi lỗi tý @ đóng gói tốt giao hàng nhanh và a ship hàng vui tính k bt đọc tên giày,POS
"váy cực đẹp , rất đáng tiền , chị chủ shop lại siêu dễ thương",POS
highly recomended,POS
"chủ shop rep tin nhắn nhiệt tình , mình mua hàng mà chỉ sợ rộng , ai ngờ vừa như in",POS
quần bị rộng quá,NEG
"hàng kém chất lượng , vải rất mỏng và form quần xấu",NEG
áo về thích lắm lun,POS
"giao hàng ko đạt , nt ko thèm trả lời , lúc mình đặt thì nhiệt tình lắm đến lúc hàng kém thì ko thèm tl , ít nhất cũng phải xin lỗi khách hàng chứ",NEG
áo mặc cực kì thíc .thoải mái .chất vải rất ok .sẽ ủng hộ thêm,POS
"shop rất nhiệt tình , nhưng cần chú ý chất lượng sản phẩm",POS
áo hơi rộng so với mình,POS
thật tuyệt vời : nhỏ nhẹ gọn gàng và biến hoá đa năng gọc nào chụp cũng được,POS
quà rất dễ thương,POS
vải mặc hơi nóng,NEG
"chất lượng sản phẩm tốt , vải mát , hoa văn đẹp",POS
rất đẹp luôn,POS
mình thích mẫu áo này,POS
cái áo trong hình thì dài :mà giao như áo nửa lưng :thất vọng :ae đừng mua nhé :buôn bán cho đàng hoàng vào :shop bán như quần,NEG
hi vọng các sản phẩm khác của shop sẽ chất lượng như thế này,POS
hang nhin vay thoi . chu luc giao hang thi ko dung voi mo ta,NEG
quần đẹp rẻ,POS
"sp giống hình , nhưng size nhỏ hơn so với size của shop thông báo",POS
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh quá tuyệt,POS
"màu giống hình , cực đẹp",POS
"quần đẹp có điều túi ngắn quá ko đc sâu , hình đăng & sp giống như miêu tả",POS
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất đẹp lắm ạ,POS
"túi đẹp , đáng tiền , gói hộp bên ngoài hơi tả tơi chút , nhưng dc cái có 2 lớp bọc kính bên ngoài nên k sao",POS
giá thì rẻ,NEU
"áo vải mỏng , đường may ko đẹp , cổ tim bị lệch",NEG
thời gian giao hàng rất nhanh nhưng khi mua các b nên mua to hơn 1 sz nha lời khuyên chân thành nếu b nào muốn mua đôi này nhé ns chúng giày rất ok nhưng hơi kích chân 1 tí,NEU
hàng chất đẹp,POS
quần ko có dây thun điều chỉnh nên hơi bất tiện,NEU
"đẹp hơn mong đợi , vải dày chắc chắn và các túi đường chỉ cũng đẹp",POS
thái đô kém thời gian giao hàng rất chậm shop phục vụ rất kém,NEG
giao hàng châm,NEG
eo rộng,NEU
đặt màu đỏ thì lại về màu đen gọi điện cho shop thì shop bảo gửi hình gửi hình xong cũng k giải thích j cho mk cả,NEU
nói chung là thích hơn sp mình đã mua chỗ khác k có hoạ tiết,NEG
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng rất nhanh rất ưng ý,POS
"mình ko yêu cầu trả hàng hoàn tiền nữa , mình mong shop bán hàng nên có tâm một chút , cám ơn",POS
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn . shop tư vấn lịch sự và rất dễ thương,POS
áo vải mịn mà sai l to quá nữ mặc hơi rộng,NEU
chỉ online để duyệt đơn hàng thôi thì phải,NEG
chỉ tại phục vụ khách hơi nóng tính một chút,POS
e bán hàng xem lại giúp chị đơn hàng chị đặt là ko có màu này nhé,NEG
"len mỏng ko phải chất dầy dặn , dáng áo khá ok",NEG
e nhận được hàng r nha shop sp đẹp lắm nha,POS
"hàng rất đẹp , chất liệu tốt rất dày",POS
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền shop phục vụ rất tốt thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh,POS
"size không chính xác , áo quá nóng , kiểu thực tế ko đẹp",NEG
"đóng gói sản phẩm chắc chắn , chất thun mỏng",POS
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh rất đáng tiền,POS
"đẹp , cực kì đẹp lại hợp túi tiền , lần sau sẽ ủng hộ",POS
mua hàng nhiều trên shope mà chưa từng thấy shop nào gói hàng lại cẩn thận tới mức toát mồ hôi để gỡ được món hàng ra,NEG
mình thanh toán bằng thẻ visa và đặt hàng,NEU
san phạm nay vua shope qua do mua ve toi k xay dc ngay ca khoai tay nau chín ma xay con k nhuyễn nua,NEU
"ok , mặc thỏa mái phết",POS
hàng đẹp lắm shop ạ,POS
đúng hàng công ty sẽ ung hộ sohp hoài,POS
"sản phẩm rất đẹp , rẻ hơn giá bán ở ngoài nhưng chất lượng cx rất tuyệt vời",NEU
"mua 4 chiếc thì 2 chiếc màu nâu chất lượng tốt , còn màu xanh với màu đen chất liệu hơi khác , có vẻ cứng",NEU
quần mềm lên dáng đẹp đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt thời gian giao hàng rất nhanh,POS
ko mặc dược,NEG
"áo đẹp hơn hình , chất mịn",POS
hàng chuẩn hãng,NEU
tuy nhiên cách trả lời tin nhắn của shop rất thân thiện với khách hàng,POS
dây kéo chắc chắn,POS
sản phẩm ok so giá tiền dày dặn mặc thoải mái hơi nóng,POS
áo chất dày dặn mình rất thích,POS
chất lượng bình thường,POS
quần đẹp dạng thun giả jeasn ko pik giặt có bay màu ko nhưng với giá này là quá tốt,POS
"mặc rất vừa , đẹp hơn so với mình nghĩ với mức giá quá ok",POS
vải ko đẹp lắm tiền nào của ấy . gửi nhầm màu áo,NEG
chất lượng sản phẩm tạm được giá cả chấp nhận được thời gian giao hàng nhanh,NEU
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh,POS
chất lượng sản phẩm tuyệt vời nhưng có điều vải hơi mỏng,POS
"san pham ok binhthuong voi giá thitruong , shop không hỗ trợ chat kết nổi , hỏi không traloi và cuối cùng không giao đúng màu trắng mình đã đặt",NEU
"y hình , mềm , êm chân . ^ giao hàng nhanh",POS
"shop tư vấn nhiệt tình , đai đẹp chắc chắn , hơn cả kỷ vọng , sẽ mua tiếp khi hạ size",POS
"ưng hết sức , rẽ nữa chứ , shop nhiệt tình vote 5 * cho shop",POS
chất lượng sản phẩm tuyệt vời đóng gói hơi sơ xài,NEU
"váy mỏng , giặt bị phai màu rất nhiều",NEG
"vải dày dặn , đẹp",NEU
form hơi to nên các mẹ cân nhắc chọn size bé hơn bth nhé,NEU
hỗ trợ rất nhiệt tình . shop đáng tin cậy,POS
"mình 60kg size xl rộng , size l thì vừa vặn hơn",POS
"tuyệt vời ạ , nhưng chỉ có điều là em đặt nhầm sz nên bị rộng",POS
k như mình mong muốn,NEG
áo rất tuyệt vời,POS
nt thì kêu mặc rộng như mẫu mặc,NEG
chất liệu sp ok,POS
máy hơi yếu xíu,NEG
tạm đc,NEU
nhưng đóng gói sản phẩm không đẹp lắm,NEU
áo bị thủng 1 lỗ,NEU
shop phục vụ rất tốt rất đáng tiền đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn,POS
k xứng đáng với giá tiền,NEG
báo đã nhận hàng rồi mà 4 ngày sau mới giao,NEG
"chỉ có lưu ý nhỏ là hình in bị ra màu , nhưng không sao",NEG
hơi chật,NEU
áo chất đẹp giá rẻ mình rất ưng ý,POS
chất lượng sản phẩm rất rất không đáng tiền,NEG
không đáng tiền bị méo nhg may kh giống những cái còn lại kh bắt trả hàng là may r đó shop rất không đáng tiền,NEG
"đóng gói sản phẩm rất đẹp và chắc chắn , giao rất nhanh trong 2 - 4 giờ , shiper khá thân thiện , chăm sóc kh tốt",POS
"áo như hình , rất đáng tiền",POS
"rất đẹp , vải rất tốt , mình tậu cả 3 cái",POS
áo như mới,POS
dinh k noi,NEG
sửa xuống lai sợ ko đẹp như quần cũ,NEU
rất đẹp,POS
"sản phẩm giống với mô tả , mặc dù ở phần nút khoét lỗ còn bị chỉ thừa hơi nhiều",POS
shop giao nhầm mẫu cho em nhiều quá nhưng ksao jibitz dth cực,POS
chất lượng sản phẩm tạm được . hơi mỏng so với ảnh,NEU
nói chung là hàng quá kém chất lượng,NEG
"chất thoáng mát , âo order y hình",POS
chất vải mỏg wa,POS
"rất đáng tiền , vải đẹp , đầm đẹp mà giá lại rẻ",POS
"bỉm cứng và mùi hôi , không giống bỉm mua ở đại lý",NEG
mn chọn màu khác nha,NEU
se˜ ủng hộ shop dài dài,POS
"shop trả lời chậm nhưng rất dễ thương , hàng đẹp",POS
xđ là vứt chứ mặc à,NEG
nhìn áo hơi cũ 1 chút nhưng vẫn vừa ý,NEU
"quần bị đứt chỉ nhiều , mua quần kaki mà cứ tưởng là mua áo mưa , shop tệ vãi",NEG
quá mỏng và nhìu cái rách,NEG
"chất lượng sản phẩm tuyệt vời hàng mặc đẹp thêm chị chủ tư vấn cực tâm lý luôn mua đồ ở đây tui tốn tiền quá trời , cứ mua lại thấy đồ đẹp",POS
phần lách hơi xấu,NEG
"gối êm , vỏ gối rất đẹp",POS
áo 250 ngàn mà may như áo chợ vậy,NEG
ko như mong đợi,NEG
vỏ dễ tách thật,POS
nói chung chất lượng tạm ổn,NEU
mình đặt 2 màu hồng 1 màu nâu mà shop giao 2 màu hồng 1 màu trắng,NEG
còn hàng thì bó từ trên xuống dưới,NEG
chất lượng sản phẩm tuyệt vời form đẹp,POS
"nc là vs giá tiền là ưng , yên tâm mua nhé mn",POS
thiếu phần cúc luôn,NEG
vải mỏng mà mịn đóg gói tạm được,POS
áo ship nhanh trong 3 ngày,NEU
đường chỉ vẫn còn bị lộ và lỗi nhubgw giao hàng đúng màu sắc và nhanh nên mình đánh 5 sao,POS
sẽ tiếp tục ủng hộ shop và mong shop sẽ có thêm nhiều mẫu mới hơn nữa,POS
là người đi giao hàng lại bắt khách đi để nhận hàng,NEG
chất lượng sản phẩm tuyệt vời . ưng lắm luôn,POS
"quần đẹp , co giãn tốt",POS
quần đẹp lắm giá lại rẻ .cảm ơn shop,POS
chất vải dày dặn form rộng,POS
"treo đầu dê bán thịt chó > hình đăng thì khác giao hàng thì khác hoàn toàn không giống 1 chi tiết , đặt hàng nhà mô hình h - 012 - a giao h - 012 - b , đặt hàng trên hình thì màu xanh giao mô hình nhà màu hồng con gái , tôi đã bị lần này là lần thứ 2 tôi đặt lại có để lại chú ý rằng mô hình màu xanh",NEG
vải đẹp lắm ạ,POS
từ khi mua đồ trên mạng thấy lần này ok nhất,POS
form vừa nè,POS
áo in màu k đẹp,NEG
để số ký dưới 58 mà minh chỉ có 50ky mặc ôm sát ko ngồi lên xg dc,NEG
chất lượng tuyệt vời ngoài mong đợi : thời gian giao hàng cực nhanh luôn : 3,POS
t nhờ shop gửi hàng đúng màu,NEG
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt rất đáng tiền shop phục vụ rất tốt,POS
cúc tay bị đóng lệch,POS
moi dat them bo nua,POS
nói chung xài rất thích,POS
đúng là sai sự thật,NEG
nhầm đơn nên hơi lằng nhằng chút xíu,NEU
"áo nhiều chỉ thừa , hình như k phải là len",NEG
mất tiền mua cái giẻ lau,NEG
chị chủ quán dễ,POS
chưa mặc đã rách haz,NEG
mặc vào cứ bị giống mẫu thế mới lạ chứ,NEU
"nhưng với giá 144k hi vọng shop cải thiện vải sẽ mỏng nhẹ thoáng mát hơn , chớ mùa này mặc hơi nóng ạ",NEU
hàng luôn chất lượng và giá cả luôn cạnh tranh,POS
"shop giao hàng 2 áo giống nhau mà một áo thì vừa 1 áo thì nhỏ xíu xìu xiu , rất nhỏ luôn , 2 áo giống mà size áo khác nhau không hiểu sao luôn , ib thì shop kh thèm trả lời",NEG
cổ áo qá rộng,NEG
mua 3 lần rồi và rất hài lòng ủng hộ shop dài dài,POS
chất lượng quá ổn so vs giá tiền,POS
chất lượng tốt mỗi chỉ không có hộp sản phẩm bên ngoài đóng gói sản phẩm rất đẹp và chắc chắn,POS
đồ đúng đẹp luôn í,POS
"chất tóc mịn , mềm mượt",NEU
sp bình thường,NEU
ưng hết nấc,POS
"mặc êm , thoải mái , rất đáng tiền",POS
ta nói nó đẹp,POS
nhưng mỗi tội lạc đơn hàng phải đặt lần 2 bù shop nhiệt tình nên xí xóa,POS
chất da mịn mềm baloch cũng rất là xinh,POS
"sản phẩm rất tuyệt , giao hàng nhanh , đóng gói cực đẹp",POS
bị móp hết hộp r,NEG
"đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời , sp rất đẹp , rất ưng ý luôn , shop phục vụ tốt , nhiệt tình , cám ơn shop nhé",POS
"miếng này dễ hỏng lắm , chả biết nên dùng vào việc gì",NEG
cảm ơn b chủ shop nhiều,POS
áo quá to vs lại may ko đc đẹp,NEG
chất lượng sản phẩm tuyệt vời hang rat dep de thuong lam rất đáng tiền shop phục vụ rất tốt tu van nhiet tinh de thuong noi chung la,POS
áo trật,NEG
túi dày đẹp,POS
quần xinh lắm ạ,POS
nói tóm gọn cho nhanh,NEU
đầm đẹp chị chủ dễ thương,POS
túi đẹp đúng với hình ảnh,NEU
"áo của jumsuit quá nhỏ mặc ko đc dù người mình mỏng như lá lúa rồi , dù sao chất vải áo ok , nhưng ko mặc được",NEG
chất lượng sản phẩm tốt shop nhiệt tình,POS
"chất lượng sp tốt nhưng có điều giao hàng chậm quá , nhận được hàng gần cả tuần lễ",NEG
màu siêu siêu ưng,POS
đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời rất đáng tiền . quần giống y hình . đẹp,POS
lần đầu tiên mua hàng ở 1hitshop có ấn tượng rất tốt ạ,POS
"chất lượng sản phẩm tuyệt vời , váy giốg với hình , rất đáng tiền ạ",POS
giao hàng nhanh k thể tin luôn a,POS
phơi nắng r mà ko thấy sáng,NEG
vải êm,POS
